column,type,bill_number,display_name,categories,action_types,short_title,notes,sponsor_bioguide_id,sponsor_name,position_to_score,preferred,pair_key,chamber,description,analysis,points,introduced_date,congress_url,learn_more_link,no_cosponsor_benefit,vote_tallies,vote_date
H.Res.166 — MEK Bill,BILL,H.Res.166,MEK Bill (H.Res.166),Iran,cosponsor,MEK Bill,,M001177,"McClintock, Tom",OPPOSE,,,HOUSE,MEK-endorsed resolution includes veiled language endorsing the MEK leader Maryam Rajavi's plan for Iran.,"This bill is directly affiliated with the Mujahedeen-e-Khalq (MEK), which was a formerly designated terrorist organization which has operated as a cult known for committing gross human rights violations against its members. This resolution, introduced nearly every single Congress, merely endorses Maryam Rajavi, the MEK's leader -- who is directly referenced in the bill's text -- while effectively doing nothing to actually provide tangible support and solutions for the people of Iran.",5,2025-02-26,https://www.congress.gov/bill/119th-congress/house-resolution/166,,1,,
S.193 — Neighbors Not Enemies Act,BILL,S.193,Neighbors Not Enemies Act (S.193),Civil Rights & Immigration,cosponsor,Neighbors Not Enemies Act,,H001042,"Hirono, Mazie K.",SUPPORT,,,SENATE,Repeals an old law that could be abused to arrest and dep foreign nationals from adversarial nations.,"Repeals the Alien Enemies Act of 1798, which is an old law that empowers the President to detain and deport foreign nationals during wartime or amid ""imminent"" threat, which the current administration has sought to use in justification of its arrests and deportations of foreign nationals.",2,2025-01-22,https://www.congress.gov/bill/119th-congress/senate-bill/193,,0,,
S.197 — Alien Land Law Senate Bill,BILL,S.197,Alien Land Law Senate Bill (S.197),Civil Rights & Immigration,cosponsor,Alien Land Law Senate Bill,,C001098,"Cruz, Ted",OPPOSE,,,SENATE,Bill risks violating civil rights by triggering harsh scrutiny of Iranians and others seeking to make property purchases.,"Would seek to limit property transactions involving actors linked to China, North Korea, Russia and Iran across a huge swathe of the United States, which risks leading to either direct or indirect real estate discrimination.",4,2025-01-22,https://www.congress.gov/bill/119th-congress/senate-bill/197,,1,,
S.2087 — No War Against Iran Act,BILL,S.2087,No War Against Iran Act (S.2087),Iran,cosponsor,No War Against Iran Act,,S000033,"Sanders, Bernard",SUPPORT,,,SENATE,Prohibits funds from being used in an unauthorized war with Iran.,"This bill is essential in actually working to preempt military action against Iran by targeting funds, while War Powers Resolutions are often raised once military action has already been pursued. A bill like this, along with a solid War Powers Resolution go hand in hand in creating a strong legislative precedent for preventing any kind of war/military confrontation with Iran.",5,2025-06-17,https://www.congress.gov/bill/119th-congress/senate-bill/2087,,0,,
S.2555 — Student Visa Integrity Act,BILL,S.2555,Student Visa Integrity Act (S.2555),Civil Rights & Immigration,cosponsor,Student Visa Integrity Act,,T000278,"Tuberville, Tommy",OPPOSE,,,SENATE,Discriminatory bill would ban Iranians and other nationals from securing visas to study in the United States.,"Would ban students from adversarial nations - including China, Cuba, Iran, North Korea, Russia and Venezuela - from securing student visas.",5,2025-07-30,https://www.congress.gov/bill/119th-congress/senate-bill/2555,,1,,
S.398 — NO BAN Act,BILL,S.398,NO BAN Act (S.398),Civil Rights & Immigration,cosponsor,NO BAN Act,,C001088,"Coons, Christopher A.",SUPPORT,,,SENATE,Bill would overturn the travel ban and guard against future discriminatory bans.,Would terminate President Trump's travel ban and make it far more difficult for any administration to impose bans based on national origin in the future.,4,2025-02-04,https://www.congress.gov/bill/119th-congress/senate-bill/398,,0,,
S.5 — Laken Riley Act,BILL,S.5,Laken Riley Act (S.5),Civil Rights & Immigration,vote,Laken Riley Act,,B001319,"Britt, Katie Boyd",OPPOSE,,,,Expands mandatory immigration detention for non-citizens charged with certain crimes and gives states new power to sue the federal government for alleged immigration-enforcement failures.,"The bill's expanded provisions, especially those in Section 3 that give state attorneys general broad authority to sue the federal government over immigration policy, would disrupt established federal control of immigration, jeopardize legal visa issuance (including for communities like Iranians), and trigger litigation and delays that could undermine the ability of families and immigrants to travel, reunite, and contribute to the U.S. economy.",4,2025-01-06,https://www.congress.gov/bill/119th-congress/senate-bill/5,https://niacouncil.org/niac-action-opposes-s-5-h-r-29-the-laken-riley-act/,0,"Passed House (263-156), January 22, 2025 | Passed Senate (64-35), January 20, 2025",
S.556 — Enhanced Iran Sanctions Act,BILL,S.556,Enhanced Iran Sanctions Act (S.556),Iran,cosponsor,Enhanced Iran Sanctions Act,,S001198,"Sullivan, Dan",OPPOSE,,,SENATE,Doubles down on failed maximum pressure policies that primarily hurt ordinary Iranian civilians.,"This bill would impose new sanctions on actors with minimal connection to trade related to Iranian oil. Critically, the bill would offer minimal discretion to the President on sanctions policy, and would require an act of Congress to halt after 2029, making it significantly more difficult for a future administration to use existing leverage to conduct diplomacy or sustain any agreement struck in the coming years.",4,2025-02-12,https://www.congress.gov/bill/119th-congress/senate-bill/556,https://niacouncil.org/memo-enhanced-iran-sanctions-act-s-556/,1,,
S.J.Res.26 — Blocking Weapons to Israel (JRD 1),BILL,S.J.Res.26,Blocking Weapons to Israel (JRD 1) (S.J.Res.26),Israel-Gaza,vote,Blocking Weapons to Israel (JRD 1),,S000033,"Sanders, Bernard",SUPPORT,,,SENATE,Would block 250 & 500 pound bombs for Israel that have been used to commit war crimes. Vote fails 15-83 on 4/3/25.,"This joint resolution would have blocked the sale of 250 and 500 pound bombs to Israel, along with associated guidance kits, which human rights authorities have documented as having been used by Israel to commit war crimes. Vote fails 15-83 on 4/3/25.",4,2025-02-25,https://www.congress.gov/bill/119th-congress/senate-joint-resolution/26,,0,"Failed Senate (15-83), April 03, 2025",
S.J.Res.33 — Blocking Weapons to Israel (JRD 2),BILL,S.J.Res.33,Blocking Weapons to Israel (JRD 2) (S.J.Res.33),Israel-Gaza,vote,Blocking Weapons to Israel (JRD 2),,S000033,"Sanders, Bernard",SUPPORT,,,SENATE,"Would block 2,000 pound bombs for Israel that have been used to commit war crimes. Vote fails 15-82 on 4/3/25.","This joint resolution would have blocked the sale of more than 40,000 2,000 pound bombs to Israel, which human rights authorities have documented as having been used by Israel to commit war crimes. Vote fails 15-82 on 4/3/25.",4,2025-03-10,https://www.congress.gov/bill/119th-congress/senate-joint-resolution/33,,0,"Failed Senate (15-82), April 03, 2025",
S.J.Res.34 — Blocking Weapons to Israel (JRD 3),BILL,S.J.Res.34,Blocking Weapons to Israel (JRD 3) (S.J.Res.34),Israel-Gaza,vote,Blocking Weapons to Israel (JRD 3),,S000033,"Sanders, Bernard",SUPPORT,,,SENATE,"Would block 1,000 pound bombs for Israel that have been used to commit war crimes. Majority of Democrats in Senate support, but vote fails 24-73 on 7/30/25.","This joint resolution would have blocked the sale of 1,000 pound bombs and guidance kits to Israel, which human rights authorities have documented as having been used by Israel to commit war crimes. Majority of Democrats in Senate support, but vote fails 24-73 on 7/30/25.",4,2025-03-10,https://www.congress.gov/bill/119th-congress/senate-joint-resolution/34,,0,"Failed Senate (24-73), July 30, 2025",
S.J.Res.41 — Blocking Weapons to Israel (JRD 4),BILL,S.J.Res.41,Blocking Weapons to Israel (JRD 4) (S.J.Res.41),Israel-Gaza,vote,Blocking Weapons to Israel (JRD 4),,S000033,"Sanders, Bernard",SUPPORT,,,SENATE,"Would block rifles for Israel that would be used to commit war crimes. Majority of Democrats in Senate support, but vote fails 27-70 on 7/30/25.","This joint resolution would have blocked the sale of tens of thousands of automatic weapons to the state of Israel, overseen by the extremist minister Itamar Ben-Gvir, and fueling the violence of Israeli settlers in the West Bank.  Majority of Democrats in Senate support, but vote fails 27-70 on 7/30/25.",4,2025-03-27,https://www.congress.gov/bill/119th-congress/senate-joint-resolution/41,,0,"Failed Senate (27-70), July 30, 2025",
S.J.Res.59 — Iran War Powers Resolution,BILL,S.J.Res.59,Iran War Powers Resolution (S.J.Res.59),Iran,vote,Iran War Powers Resolution,,K000384,"Kaine, Tim",SUPPORT,,,SENATE,The key Senate resolution opposing unauthorized war with Iran. Voted down 47-53 on 6/27/25.,"A War Powers Resolution is a tool Congress uses to prevent the President from taking the country into war without congressional approval. Because the Constitution gives Congress—not the President—the power to declare war, this legislation is essential for stopping unauthorized U.S. involvement in a conflict with Iran.This is especially important after the Trump administration’s June 21, 2025 strikes on Iranian nuclear facilities during the 12-day war between Iran and Israel. The bill also sends a strong message within Congress and to the public that there is no military solution to Iran’s nuclear issue. This bill in the Senate is the only War Powers Resolution that received a vote during the height of hostilities between Iran, Israel, and the U.S. The measure ultimately failed on party lines, with every Senate Democrat except John Fetterman voting in favor and every Senate Republican except Rand Paul voting against it.",10,2025-06-16,https://www.congress.gov/bill/119th-congress/senate-joint-resolution/59,,0,"Failed Senate (47-53), June 27, 2025",
H_R_2619_Travel_to_Iran_Amendment,MANUAL,H.R.2619,Travel to Iran Amendment (H.R.2619),Civil Rights & Immigration,Committee Vote,Travel to Iran Amendment,,,"Jacobs, Sara",SUPPORT,,,HOUSE,Would strike the provision of H.R. 2619 which proposes a ban on travel to Iran.,"This amendment, which ultimately failed in committee, would have removed the travel ban to Iran in H.R. 2619 and replaced it with a requirement that the State Department develop a strategy to highlight the risks of wrongful detention and hostage-taking by the Iranian government. This approach would preserve Iranian Americans’ ability to visit family while responsibly underscoring the dangers involved.",4,4/9/2025,,,0,"Failed in Committee 23-27, April 9, 2025",
